BAD;CLAGE;CLNO;DEBTINC;DELINQ;DEROG;JOB;LOAN;MORTDUE;NINQ;REASON;VALUE;YOJ;CPF
0;395,1487613;51;36,13250999;0;;Office;20200;125647;;DebtCon;166423;1;110.294.129-30
0;632,1031857;24;20,73703901;1;0;ProfExe;20200;61303;1;HomeImp;97780;17;119.592.291-95
0;120,303257;5;20,50577116;0;0;Office;20200;;2;HomeImp;72469;8;110.294.129-31
0;183,6666667;43;;;;ProfExe;20200;137000;5;DebtCon;174685;6;119.592.291-96
0;121,1022295;11;27,0375129;;0;Self;20200;35819;;HomeImp;49843;4;110.294.129-32
0;253,2489667;20;26,43068063;0;0;ProfExe;20200;51588;0;DebtCon;121752;14;119.592.291-97
0;;16;32,01179994;0;0;Other;20200;153084;1;DebtCon;196968;6;110.294.129-33
0;118,5696695;22;43,45451215;2;0;Office;20200;45088;1;DebtCon;65211;10;119.592.291-98
1;123,8;2;;0;0;Other;20200;33000;2;HomeImp;62400;1;110.294.129-34
0;156,9290889;21;36,09986835;0;0;Office;20200;61477;0;DebtCon;98143;1;119.592.291-99
0;216,218081;12;33,33358202;0;0;Office;20200;51449;0;DebtCon;69060;2;110.294.129-35
0;120,593465;4;18,32048799;0;0;Office;20200;;1;HomeImp;68031;6;119.592.291-100
0;112,7990866;17;22,09304595;0;0;Other;20200;34676;0;DebtCon;62987;1;110.294.129-36
0;618,7358902;24;21,66864227;0;0;ProfExe;20200;59347;1;HomeImp;97816;18;119.592.291-101
0;172,9117149;26;33,83467117;0;0;Office;20200;41479;2;DebtCon;70102;5;110.294.129-37
1;105,2192967;28;52,73486061;0;0;Office;20200;82181;3;DebtCon;119535;41;119.592.291-102
0;178,9425448;38;20,32713791;0;0;ProfExe;20200;130401;0;DebtCon;171686;7;110.294.129-38
0;263,9912932;36;26,50856379;3;0;ProfExe;20300;59809;0;DebtCon;107994;15;119.592.291-103
0;134,9425973;25;30,23655405;;;ProfExe;20300;90048;;DebtCon;129230;13;110.294.129-39
0;219,8747302;13;29,5672214;0;0;Other;20300;71387;0;HomeImp;107363;4;119.592.291-104
0;223,5536916;13;40,3260493;0;0;Other;20300;37056;0;DebtCon;55027;;110.294.129-40
0;287,6116049;16;34,18708305;0;0;Other;20300;82996;1;DebtCon;118224;11;119.592.291-105
0;214,9704843;12;39,26309424;0;0;Other;20300;36360;0;DebtCon;57905;;110.294.129-41
0;;16;29,07518765;0;0;Other;20300;153896;2;DebtCon;200279;7;119.592.291-106
0;219,0882238;41;37,15549756;0;0;Other;20300;21281;2;DebtCon;90551;22;110.294.129-42
1;323,8085733;28;45,8759169;4;0;ProfExe;20300;63803;4;DebtCon;89079;21;119.592.291-107
0;222,733567;12;39,81473684;0;0;Other;20300;37388;0;DebtCon;55703;;110.294.129-43
1;166,1260891;21;40,73602194;0;1;Office;20300;77325;4;DebtCon;133075;19;119.592.291-108
1;217,1281672;25;41,56310065;0;0;ProfExe;20300;180254;0;HomeImp;220843;11;110.294.129-44
1;174,8921056;64;40,545681;1;3;ProfExe;20300;66667;2;DebtCon;92158;9;119.592.291-109
0;148,6556875;24;33,18367731;;;ProfExe;20300;94781;;DebtCon;125948;12;110.294.129-45
0;39,64588729;3;29,98518301;0;0;Other;20300;13838;1;DebtCon;30813;0;119.592.291-110
0;198,5572405;32;40,7848993;0;0;Office;20400;173975;0;DebtCon;219297;12;110.294.129-46
0;177,5936728;20;35,55430368;0;0;ProfExe;20400;29985;1;DebtCon;54038;15;119.592.291-111
0;280,7932257;16;34,43917111;0;0;Other;20400;86559;2;DebtCon;123114;9;110.294.129-47
0;265,9508455;16;33,79937887;0;0;Office;20400;99781;2;DebtCon;128452;23;119.592.291-112
0;184,82429;16;40,77586435;0;0;Other;20400;;1;HomeImp;94446;6;110.294.129-48
